country,air_quality_PM10,attacked
Zambia,-5.586888723670011,0
Jordan,-0.3170840225997281,0
Poland,-16.766035791405464,1
Iraq,-11.240535656219713,1
Iran,11.072946926281912,1
Indonesia,-4.412928595043423,1
Albania,-0.4928196214256464,0
Andorra,1.056338543536513,0
Angola,4.603229402896859,0
Armenia,6.646109945181266,1
Bahrain,14.009877011208996,1
Belarus,1.985204347344588,0
Bosnia and Herzegovina,-2.736162239046626,0
Botswana,0.7490953370625815,0
Bulgaria,-1.2086944632775944,0
Burundi,2.0948359835922723,1
Madagascar,-0.126311505154656,0
Cape Verde,2.292625038362278,1
Afghanistan,-2.545382704039037,0
Equatorial Guinea,-7.405910568269837,1
Eritrea,-0.4101152488921509,0
Finland,1.029372198108958,0
France,1.991741418521734,1
Germany,-0.08233146587526008,1
Ghana,-0.1960916255634855,0
Guinea,0.8830374387216291,0
Guinea-Bissau,5.163573726822004,0
Vatican City,7.71965236554675,1
Hungary,-2.367384874917508,0
Iceland,-1.051273788999854,0
Chad,3.3092071240032106,0
Turkey,-2.307767675070329,0
Myanmar,-1.5360660119192286,0
Mozambique,1.472625215662939,0
Mauritius,3.4508170978975063,0
Kuwait,-1.9039972998203343,1
Malta,0.3508816539772892,0
Mali,-0.5846292931045246,0
Malawi,13.008191272532216,1
Thailand,0.4791103577819575,0
Nigeria,0.3139445706022002,0
Mauritania,1.6223933193004942,0
Oman,3.6945429159460073,0
Sudan,0.9045693629627498,0
Russia,0.5277294212915951,0
Senegal,-5.791396602900931,0
Slovenia,-0.168061450880861,0
South Africa,0.1067610974714073,0
Tanzania,-2.260060946708442,0
Vietnam,-0.2014745343538056,0
Ukraine,2.1400878446901923,0
United Arab Emirates,1.7867883970776566,0
Uzbekistan,1.3899624431783426,0
Zambia,-5.292338522945268,0
Kenya,-1.4507340366534256,0
Poland,-5.313377145633403,1
Jordan,1.0344132704780913,0
Iraq,6.81591739462764,1
Afghanistan,-2.0430380139833604,0
Iran,15.184789368223804,1
Albania,4.832809775401696,0
Andorra,-8.279585721990644,0
Angola,-1.2335944537584016,0
