humidity,air_quality_PM10,air_quality_Carbon_Monoxide,temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,air_quality_us-epa-index,air_quality_Ozone,air_quality_gb-defra-index,attacked_mode,date,attacked_feature,attack_ratio
0.274002766,0,0,0.113866201,0,0.020960082,0,0.117562871,0,0.06617104,DRPA,2025/1/29,air_quality_us-epa-index,0.148
0.313615621,0.133120884,0.105069107,0.082778033,0.08551211,0.063591811,0.082846255,0,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.167
0.039173985,0,0,0.122032366,0,0,0.644028497,0,0,0.003376584,DRPA,2024/10/25,air_quality_us-epa-index,0.167
0,0,0.139722673,0.009524459,0,0.162035821,0.052375335,0,0.084305432,0.01036947,DRPA,2024/11/26,air_quality_us-epa-index,0.167
0.211985986,0,0.270897725,0.015106371,0,0,0.158798004,0,0,0.009280031,DRPA,2024/12/28,air_quality_us-epa-index,0.167
0.258974556,0,0,0.113447243,0,0.015554494,0,0.094454173,0,0.066162284,DRPA,2025/1/29,air_quality_us-epa-index,0.167
0.242215881,0.17283702,0.146296051,0.124220819,0.109962395,0.071271142,0.050108227,0.076398465,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.204
0.036812595,0,0,0.130502437,0,0,0.62509597,0.007264102,0,0.003415368,DRPA,2024/10/25,air_quality_us-epa-index,0.204
0,0,0.138551137,0.007666424,0,0.15803019,0.034621146,0,0.079664823,0.009793133,DRPA,2024/11/26,air_quality_us-epa-index,0.204
0.209208206,0,0.273950617,0.019649711,0,0,0.16002806,0,0,0.009226524,DRPA,2024/12/28,air_quality_us-epa-index,0.204
0.274684741,0,0,0.11131833,0,0.005006917,0,0.113895671,0,0.066168928,DRPA,2025/1/29,air_quality_us-epa-index,0.204
0.258903362,0.16619632,0.129706107,0.116254629,0.078952265,0.039805667,0.036482172,0,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.222
0.013457749,0,0,0.167044026,0,0,0.686868661,0.264205009,0.010575043,0.00339523,DRPA,2024/10/25,air_quality_us-epa-index,0.222
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010363982,DRPA,2024/11/26,air_quality_us-epa-index,0.222
0.237481531,0,0.310218436,0.025791036,0,0.003538929,0.131164235,0,0,0.009222892,DRPA,2024/12/28,air_quality_us-epa-index,0.222
0.274708805,0,0,0.105903816,0,0.021476695,0,0.080539583,0,0.066194437,DRPA,2025/1/29,air_quality_us-epa-index,0.222
0.250384715,0.170517077,0.141456951,0.129975175,0.104068458,0.061241758,0.067366742,0.090962372,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.259
0.03778564,0,0,0.142274526,0,0,0.634234875,0.034141472,0.007330203,0.003389613,DRPA,2024/10/25,air_quality_us-epa-index,0.259
0,0,0.13852939,0.014171084,0,0.162755291,0.016975327,0,0.078775318,0.009869323,DRPA,2024/11/26,air_quality_us-epa-index,0.259
